Variable,Label,Mean,Min,Max,StdDev,Valid,Invalid,Variance
PAIND10,"FATHERS INDUSTRY CODE (2010)",4443.536,170.0,9870.0,3270.323,3603.0,55996.0,10695013.021
maocc80,"MOTHERS CENSUS OCCUPATION CODE (1980)",375.355,3.0,889.0,226.079,14313.0,45286.0,51111.728
mapres80,"MOTHERS OCCUPATIONAL PRESTIGE SCORE (1980)",41.128,17.0,86.0,14.018,14313.0,45286.0,196.501
mawrkslf,"MOTHER SELF-EMP. OR WORKED FOR SOMEBODY",1.884,1.0,2.0,0.321,17606.0,41993.0,0.103
maind80,"MOTHERS INDUSTRY CODE (1980)",628.39,10.0,932.0,257.395,14205.0,45394.0,66252.224
MAOCC10,"MOTHERS CENSUS OCCUPATION CODE (2010)",4700.228,10.0,9830.0,2265.515,2999.0,56600.0,5132556.168
mapres10,"Mother's occupational prestige score (2010)",41.731,16.0,80.0,13.33,2999.0,56600.0,177.699
mapres105plus,"Mother's occupational prestige score using threshold method (2010)",43.072,5.0,97.0,25.781,2999.0,56600.0,664.644
MAIND10,"MOTHERS INDUSTRY CODE (NAICS 2007)",6657.514,170.0,9790.0,2522.389,3005.0,56594.0,6362447.653
sibs,"NUMBER OF BROTHERS AND SISTERS",3.932,0.0,68.0,3.183,57913.0,1686.0,10.132
childs,"NUMBER OF CHILDREN",1.947,0.0,8.0,1.785,59410.0,189.0,3.186
age,"AGE OF RESPONDENT",45.839,18.0,89.0,17.482,59388.0,211.0,305.628
agekdbrn,"R'S AGE WHEN 1ST CHILD BORN",23.841,9.0,65.0,5.505,19936.0,39663.0,30.305
educ,"HIGHEST YEAR OF SCHOOL COMPLETED",12.794,0.0,20.0,3.183,59434.0,165.0,10.13
paeduc,"HIGHEST YEAR SCHOOL COMPLETED, FATHER",10.609,0.0,20.0,4.35,42058.0,17541.0,18.922
maeduc,"HIGHEST YEAR SCHOOL COMPLETED, MOTHER",10.757,0.0,20.0,3.757,49200.0,10399.0,14.114
speduc,"HIGHEST YEAR SCHOOL COMPLETED, SPOUSE",12.821,0.0,20.0,3.141,30774.0,28825.0,9.868
degree,"RS HIGHEST DEGREE",1.331,0.0,4.0,1.167,59434.0,165.0,1.363
padeg,"FATHERS HIGHEST DEGREE",0.877,0.0,4.0,1.164,44816.0,14783.0,1.354
madeg,"MOTHERS HIGHEST DEGREE",0.82,0.0,4.0,0.976,51784.0,7815.0,0.952
spdeg,"SPOUSES HIGHEST DEGREE",1.369,0.0,4.0,1.185,30871.0,28728.0,1.403
major1,"COLLEGE MAJOR 1",28.519,1.0,80.0,19.755,1646.0,57953.0,390.241
major2,"COLLEGE MAJOR 2",29.581,1.0,80.0,19.149,310.0,59289.0,366.684
DIPGED,"DIPLOMA, GED, OR OTHER",1.1,1.0,5.0,0.342,3885.0,55714.0,0.117
SPDIPGED,"SPOUSE DIPLOMA, GED, OR OTHER",1.073,1.0,3.0,0.268,1976.0,57623.0,0.072
whenhs,"WHEN RECEIVED HS DEGREE",1986.605,1936.0,2014.0,18.341,910.0,58689.0,336.395
whencol,"WHEN RECEIVED COLLEGE DEGREE",1992.552,1938.0,2014.0,15.823,1617.0,57982.0,250.382
sector,"Type of college respondent attended",1.807,0.0,9.0,1.163,1418.0,58181.0,1.351
eftotlt,"Total number of students enrolled in college respondent attended",1.984,1.0,2.0,0.124,1408.0,58191.0,0.015
barate,"Rate of BA degree earning in college respondent attended",2.397,1.0,3.0,0.706,1145.0,58454.0,0.498
gradtounder,"Ratio of graduate students to undergraduate students in college respondent attended",1.649,1.0,2.0,0.478,1113.0,58486.0,0.228
VOEDCOL,"Non-college postsecondary education (VOEDNME1)",1.695,1.0,2.0,0.46,2426.0,57173.0,0.212
VOEDNME1,"Postsecondary institution attended for credit",10.682,1.0,30.0,5.882,718.0,58881.0,34.594
VOEDNCOL,"Non-college postsecondary education (VOEDNME2)",1.689,1.0,2.0,0.463,1712.0,57887.0,0.214
VOEDNME2,"Postsecondary institution attended for credit",10.28,2.0,30.0,6.037,518.0,59081.0,36.446
spsector,"Type of college spouse attended",1.637,0.0,6.0,0.946,754.0,58845.0,0.896
speftotlt,"Total number of students enrolled in college spouse attended",1.988,1.0,2.0,0.109,748.0,58851.0,0.012
spbarate,"Rate of BA degree earning in college spouse attended",2.36,1.0,3.0,0.735,655.0,58944.0,0.54
spgradtounder,"Ratio of graduate students to undergraduate students in college spouse attended",1.647,1.0,2.0,0.478,635.0,58964.0,0.229
sex,"RESPONDENTS SEX",1.559,1.0,2.0,0.497,59599.0,0.0,0.247
race,"RACE OF RESPONDENT",1.242,1.0,3.0,0.534,59599.0,0.0,0.286
res16,"TYPE OF PLACE LIVED IN WHEN 16 YRS OLD",3.462,1.0,6.0,1.541,57976.0,1623.0,2.373
reg16,"REGION OF RESIDENCE, AGE 16",4.34,0.0,9.0,2.548,59599.0,0.0,6.491
mobile16,"GEOGRAPHIC MOBILITY SINCE AGE 16",1.932,1.0,3.0,0.862,57544.0,2055.0,0.743
family16,"LIVING WITH PARENTS WHEN 16 YRS OLD",1.939,0.0,8.0,1.829,58055.0,1544.0,3.344
famdif16,"REASON NOT LIVING WITH PARENTS",2.105,1.0,5.0,1.309,15673.0,43926.0,1.714
mawork,"MOTHERS EMPLOYMENT SINCE MARRIAGE",1.42,1.0,2.0,0.494,24312.0,35287.0,0.244
mawkbaby,"MOTHERS EMPLOYMENT BEFORE FIRST GRADE",1.567,1.0,2.0,0.496,6072.0,53527.0,0.246
mawkborn,"MOTHERS EMPLOYMENT AFTER R WAS BORN",1.539,1.0,2.0,0.499,5483.0,54116.0,0.249
mawk16,"MOTHERS EMPLOYMENT WHEN R GROWING UP",1.323,1.0,2.0,0.467,6300.0,53299.0,0.219
mawrkgrw,"MOTHERS EMPLOYMENT WHEN R WAS 16",1.344,1.0,2.0,0.475,27021.0,32578.0,0.226
incom16,"RS FAMILY INCOME WHEN 16 YRS OLD",2.769,1.0,5.0,0.873,46233.0,13366.0,0.763
born,"WAS R BORN IN THIS COUNTRY",1.088,1.0,2.0,0.284,50342.0,9257.0,0.081
parborn,"WERE RS PARENTS BORN IN THIS COUNTRY",1.098,0.0,8.0,2.653,50300.0,9299.0,7.041
granborn,"HOW MANY GRANDPARENTS BORN OUTSIDE U.S.",1.161,0.0,4.0,1.608,47394.0,12205.0,2.585
hompop,"NUMBER OF PERSONS IN HOUSEHOLD",2.669,1.0,16.0,1.516,59593.0,6.0,2.299
babies,"HOUSEHOLD MEMBERS LESS THAN 6 YRS OLD",0.234,0.0,6.0,0.575,59280.0,319.0,0.33
preteen,"HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD",0.287,0.0,8.0,0.664,59253.0,346.0,0.441
teens,"HOUSEHOLD MEMBERS 13 THRU 17 YRS OLD",0.22,0.0,8.0,0.562,59327.0,272.0,0.316
adults,"HOUSEHOLD MEMBERS 18 YRS AND OLDER",1.923,1.0,8.0,0.806,59535.0,64.0,0.65
unrelat,"NUMBER IN HOUSEHOLD NOT RELATED",0.139,0.0,8.0,0.513,43810.0,15789.0,0.263
earnrs,"HOW MANY IN FAMILY EARNED MONEY",1.436,0.0,8.0,1.016,59060.0,539.0,1.032
income,"TOTAL FAMILY INCOME",9.995,1.0,12.0,2.86,52072.0,7527.0,8.178
rincome,"RESPONDENTS INCOME",9.147,1.0,12.0,3.389,34892.0,24707.0,11.487
income72,"TOTAL FAMILY INCOME",5.262,1.0,12.0,2.778,1474.0,58125.0,7.72
income77,"TOTAL FAMILY INCOME",9.821,1.0,16.0,4.114,4188.0,55411.0,16.927
rincom77,"RESPONDENTS INCOME",7.83,1.0,16.0,4.167,2774.0,56825.0,17.361
income82,"TOTAL FAMILY INCOME",11.315,1.0,17.0,4.47,5893.0,53706.0,19.983
rincom82,"RESPONDENTS INCOME",9.446,1.0,17.0,4.632,4010.0,55589.0,21.451
income86,"TOTAL FAMILY INCOME",13.073,1.0,20.0,5.133,6977.0,52622.0,26.345
rincom86,"RESPONDENTS INCOME",10.82,1.0,20.0,5.172,4859.0,54740.0,26.753
income91,"TOTAL FAMILY INCOME",14.506,1.0,21.0,5.141,8032.0,51567.0,26.426
rincom91,"RESPONDENTS INCOME",12.393,1.0,21.0,5.276,5838.0,53761.0,27.832
income98,"TOTAL FAMILY INCOME",15.762,1.0,23.0,5.423,9904.0,49695.0,29.405
rincom98,"RESPONDENTS INCOME",13.715,1.0,23.0,5.512,7135.0,52464.0,30.379
income06,"TOTAL FAMILY INCOME",16.716,1.0,25.0,5.754,11524.0,48075.0,33.106
rincom06,"RESPONDENTS INCOME",14.567,1.0,25.0,5.96,7729.0,51870.0,35.523
region,"REGION OF INTERVIEW",4.905,1.0,9.0,2.453,59599.0,0.0,6.019
xnorcsiz,"EXPANDED N.O.R.C. SIZE CODE",4.4,1.0,10.0,2.904,59599.0,0.0,8.431
srcbelt,"SRC BELTCODE",3.987,1.0,6.0,1.541,59599.0,0.0,2.376
size,"SIZE OF PLACE IN 1000S",380.751,0.0,8175.0,1278.284,59599.0,0.0,1634010.191
dotdata,"D.O.T. CODE - RELATION TO DATA",3.742,0.0,8.0,2.107,24055.0,35544.0,4.44
dotpeop,"D.O.T. CODE - RELATION TO PEOPLE",6.456,0.0,8.0,1.829,24055.0,35544.0,3.347
dotthng,"D.O.T. CODE - RELATION TO THINGS",5.931,0.0,8.0,2.505,24055.0,35544.0,6.277
dotged,"D.O.T. CODE - GENERAL EDUC DEVELOP.",3.649,1.0,6.0,0.941,24055.0,35544.0,0.885
dotsvp,"D.O.T. CODE - SPECIFIC VOCAT. PREP",5.205,1.0,8.0,1.711,24055.0,35544.0,2.927
dotpres,"TEMME PRESTIGE SCALE",39.816,0.0,88.4,14.67,24055.0,35544.0,215.198
spdotdat,"SP. D.O.T. CODE - RELATION TO DATA",3.6,0.0,8.0,2.09,14391.0,45208.0,4.369
spdotpeo,"SP. D.O.T. CODE - RELATION TO PEOPLE",6.433,0.0,8.0,1.859,14391.0,45208.0,3.455
spdotthn,"SP. D.O.T. CODE - RELATION TO THINGS",5.747,0.0,8.0,2.555,14391.0,45208.0,6.53
spdotged,"SP. D.O.T. CODE - GENERAL EDUC DEVELOP.",3.702,1.0,6.0,0.929,14391.0,45208.0,0.863
spdotsvp,"SP. D.O.T. CODE - SPECIFIC VOCAT. PREP",5.374,1.0,8.0,1.669,14391.0,45208.0,2.784
spdotpre,"SP. TEMME PRESTIGE SCALE",40.818,0.0,88.4,14.159,14391.0,45208.0,200.479
padotdat,"FA. D.O.T. CODE - RELATION TO DATA",3.386,0.0,7.0,2.179,22005.0,37594.0,4.748
padotpeo,"FA. D.O.T. CODE - RELATION TO PEOPLE",6.912,0.0,8.0,1.746,22005.0,37594.0,3.048
padotthn,"FA. D.O.T. CODE - RELATION TO THINGS",4.212,0.0,8.0,2.601,22005.0,37594.0,6.763
padotged,"FA. D.O.T. CODE - GENERAL EDUC DEVELOP.",3.655,1.0,6.0,0.889,22005.0,37594.0,0.791
padotsvp,"FA. D.O.T. CODE - SPECIFIC VOCAT. PREP",5.764,1.0,8.0,1.592,22005.0,37594.0,2.535
padotpre,"FA. TEMME PRESTIGE SCALE",37.602,0.0,88.4,13.424,22005.0,37594.0,180.209
partyid,"POLITICAL PARTY AFFILIATION",2.734,0.0,7.0,2.045,59246.0,353.0,4.182
vote68,"DID R VOTE IN 1968 ELECTION",1.439,1.0,6.0,0.658,3066.0,56533.0,0.434
pres68,"VOTE FOR HUMPHREY, NIXON, OR WALLACE",1.774,1.0,5.0,0.806,1940.0,57659.0,0.65
if68who,"WHO WOULD R HAVE VOTED FOR-1968 ELECTION",1.897,1.0,6.0,0.933,912.0,58687.0,0.87
vote72,"DID R VOTE IN 1972 ELECTION",1.408,1.0,6.0,0.62,7404.0,52195.0,0.385
pres72,"VOTE FOR MCGOVERN OR NIXON",1.683,1.0,5.0,0.61,4776.0,54823.0,0.372
if72who,"WHO WOULD R HAVE VOTED FOR-1972 ELECTION",1.807,1.0,6.0,0.885,2104.0,57495.0,0.784
vote76,"DID R VOTE IN 1976 ELECTION",1.448,1.0,4.0,0.637,6281.0,53318.0,0.406
pres76,"VOTE FOR CARTER OR FORD",1.456,1.0,5.0,0.577,3857.0,55742.0,0.333
if76who,"WHO WOULD R HAVE VOTED FOR-1976 ELECTION",1.507,1.0,5.0,0.685,2023.0,57576.0,0.47
vote80,"DID R VOTE IN 1980 ELECTION",1.422,1.0,4.0,0.641,8130.0,51469.0,0.411
pres80,"VOTE FOR CARTER, REAGAN OR ANDERSON",1.606,1.0,6.0,0.744,5251.0,54348.0,0.553
if80who,"WHO WOULD R HAVE VOTED FOR-1980 ELECTION",1.648,1.0,7.0,0.809,2341.0,57258.0,0.654
vote84,"DID R VOTE IN 1984 ELECTION",1.402,1.0,4.0,0.614,7683.0,51916.0,0.377
pres84,"VOTE FOR REAGAN OR MONDALE",1.641,1.0,5.0,0.585,4968.0,54631.0,0.342
if84who,"WHO WOULD R HAVE VOTED FOR-1984 ELECTION",1.713,1.0,4.0,0.606,2144.0,57455.0,0.367
vote88,"DID R VOTE IN 1988 ELECTION",1.41,1.0,4.0,0.615,5942.0,53657.0,0.378
pres88,"VOTE FOR DUKAKIS OR BUSH",1.646,1.0,5.0,0.545,3737.0,55862.0,0.297
if88who,"WHO WOULD R HAVE VOTED FOR-1988 ELECTION",1.811,1.0,3.0,0.544,1630.0,57969.0,0.296
vote92,"DID R VOTE IN 1992 ELECTION",1.392,1.0,4.0,0.616,10146.0,49453.0,0.379
pres92,"VOTE FOR CLINTON, BUSH, PEROT",1.701,1.0,6.0,0.765,6658.0,52941.0,0.586
if92who,"WHO WOULD R HAVE VOTED FOR-1992 ELECTION",1.852,1.0,4.0,0.909,2659.0,56940.0,0.826
vote96,"DID R VOTE IN 1996 ELECTION",1.452,1.0,4.0,0.66,8241.0,51358.0,0.436
pres96,"VOTE FOR CLINTON, DOLE, PEROT",1.598,1.0,6.0,0.789,5097.0,54502.0,0.623
if96who,"WHO WOULD R HAVE VOTED FOR-1996 ELECTION",1.72,1.0,4.0,1.022,2427.0,57172.0,1.044
vote00,"DID R VOTE IN 2000 ELECTION",1.457,1.0,4.0,0.658,8470.0,51129.0,0.433
pres00,"VOTE FOR GORE, BUSH, NADER",1.606,1.0,6.0,0.642,5213.0,54386.0,0.412
if00who,"WHO WOULD R HAS VOTED FOR IN 2000 ELECTION",1.882,1.0,4.0,0.989,2803.0,56796.0,0.977
vote04,"DID R VOTE IN 2004 ELECTION",1.433,1.0,3.0,0.65,8408.0,51191.0,0.422
pres04,"VOTE FOR KERRY, BUSH, NADER",1.57,1.0,6.0,0.642,5348.0,54251.0,0.413
if04who,"WHO WOULD R HAS VOTED FOR IN 2004 ELECTION",1.735,1.0,3.0,0.773,2581.0,57018.0,0.598
VOTE08,"DID R VOTE IN 2008 ELECTION",1.408,1.0,3.0,0.636,6485.0,53114.0,0.404
PRES08,"VOTE OBAMA OR MCCAIN",1.426,1.0,4.0,0.564,4212.0,55387.0,0.318
IF08WHO,"WHO YOU WOULD HAVE VOTED FOR",1.612,1.0,3.0,0.782,1929.0,57670.0,0.612
VOTE12,"DID R VOTE IN 2012 ELECTION",1.395,1.0,3.0,0.589,2509.0,57090.0,0.347
PRES12,"VOTE OBAMA OR ROMNEY",1.466,1.0,4.0,0.598,1599.0,58000.0,0.358
IF12WHO,"WHO WOULD R HAVE VOTED FOR IN 2012 ELECTION",1.783,1.0,3.0,0.828,784.0,58815.0,0.686
polviews,"THINK OF SELF AS LIBERAL OR CONSERVATIVE",4.105,1.0,7.0,1.371,50325.0,9274.0,1.88
polviewy,"LIBERAL OR CONSERVATIVE-VERSION Y",3.366,0.0,7.0,1.888,751.0,58848.0,3.566
polviewx,"LIBERAL OR CONSERVATIVE-VERSION X",5.371,1.0,10.0,1.702,730.0,58869.0,2.898
natspac,"SPACE EXPLORATION PROGRAM",2.331,1.0,3.0,0.695,32377.0,27222.0,0.483
natenvir,"IMPROVING & PROTECTING ENVIRONMENT",1.481,1.0,3.0,0.654,32858.0,26741.0,0.428
natheal,"IMPROVING & PROTECTING NATIONS HEALTH",1.403,1.0,3.0,0.606,33321.0,26278.0,0.368
natcity,"SOLVING PROBLEMS OF BIG CITIES",1.654,1.0,3.0,0.743,30245.0,29354.0,0.552
natcrime,"HALTING RISING CRIME RATE",1.387,1.0,3.0,0.599,33013.0,26586.0,0.359
natdrug,"DEALING WITH DRUG ADDICTION",1.464,1.0,3.0,0.648,32633.0,26966.0,0.42
nateduc,"IMPROVING NATIONS EDUCATION SYSTEM",1.428,1.0,3.0,0.62,33501.0,26098.0,0.384
natrace,"IMPROVING THE CONDITIONS OF BLACKS",1.854,1.0,3.0,0.724,31439.0,28160.0,0.524
natarms,"MILITARY, ARMAMENTS, AND DEFENSE",2.087,1.0,3.0,0.749,32657.0,26942.0,0.562
nataid,"FOREIGN AID",2.643,1.0,3.0,0.594,32715.0,26884.0,0.353
natfare,"WELFARE",2.278,1.0,3.0,0.782,32982.0,26617.0,0.612
natroad,"HIGHWAYS AND BRIDGES",1.707,1.0,3.0,0.644,39977.0,19622.0,0.414
natsoc,"SOCIAL SECURITY",1.489,1.0,3.0,0.612,39771.0,19828.0,0.375
natmass,"MASS TRANSPORTATION",1.72,1.0,3.0,0.64,38008.0,21591.0,0.41
natpark,"PARKS AND RECREATION",1.731,1.0,3.0,0.567,40230.0,19369.0,0.321
natchld,"ASSISTANCE FOR CHILDCARE",1.514,1.0,3.0,0.632,18493.0,41106.0,0.4
natsci,"SUPPORTING SCIENTIFIC RESEARCH",1.717,1.0,3.0,0.677,13337.0,46262.0,0.458
NATENRGY,"DEVELOPING ALTERNATIVE ENERGY SOURCES",1.484,1.0,3.0,0.666,6283.0,53316.0,0.444
natspacy,"SPACE EXPLORATION -- VERSION Y",2.274,1.0,3.0,0.695,19975.0,39624.0,0.484
natenviy,"THE ENVIRONMENT -- VERSION Y",1.435,1.0,3.0,0.643,20326.0,39273.0,0.413
nathealy,"HEALTH -- VERSION Y",1.42,1.0,3.0,0.667,20668.0,38931.0,0.445
natcityy,"ASSISTANCE TO BIG CITIES -- VERSION Y",2.124,1.0,3.0,0.752,18204.0,41395.0,0.566
natcrimy,"LAW ENFORCEMENT -- VERISON Y",1.537,1.0,3.0,0.649,20614.0,38985.0,0.421
natdrugy,"DRUG REHABILITATION -- VERSION Y",1.555,1.0,3.0,0.69,19849.0,39750.0,0.476
nateducy,"EDUCATION -- VERSION Y",1.317,1.0,3.0,0.57,20954.0,38645.0,0.325
natracey,"ASSISTANCE TO BLACKS -- VERSION Y",1.95,1.0,3.0,0.735,18715.0,40884.0,0.54
natarmsy,"NATIONAL DEFENSE -- VERSION Y",2.114,1.0,3.0,0.745,20239.0,39360.0,0.555
nataidy,"ASSISTANCE TO OTHER COUNTRIES -- VER Y",2.662,1.0,3.0,0.594,20448.0,39151.0,0.353
natfarey,"ASSISTANCE TO THE POOR -- VERSION Y",1.45,1.0,3.0,0.675,20680.0,38919.0,0.455
natspacz,"SPACE EXPLORATION -- VERSION Z",2.275,1.0,3.0,0.662,462.0,59137.0,0.438
natenviz,"IMPROVING THE ENVIRONMENT -- VERSION Z",1.49,1.0,3.0,0.657,465.0,59134.0,0.431
nathealz,"IMPROVING HEALTH -- VERSION Z",1.462,1.0,3.0,0.59,465.0,59134.0,0.348
natcityz,"SOLVING PROBLEMS OF BIG CITIES -- VER Z",1.625,1.0,3.0,0.712,427.0,59172.0,0.507
natcrimz,"REDUCING CRIME -- VERISON Z",1.327,1.0,3.0,0.534,465.0,59134.0,0.285
natdrugz,"REDUCING DRUG ADDICTION -- VERSION Z",1.384,1.0,3.0,0.573,461.0,59138.0,0.328
nateducz,"IMPROVING THE EDUCATION SYSTEM -- VER Z",1.398,1.0,3.0,0.589,467.0,59132.0,0.347
natracez,"IMPROVING CONDITIONS OF BLACKS -- VER Z",1.821,1.0,3.0,0.696,452.0,59147.0,0.484
natarmsz,"STRENGTHENING NATIONAL DEFENSE -- VER Z",2.137,1.0,3.0,0.744,466.0,59133.0,0.553
nataidz,"HELPING OTHER COUNTRIES -- VERSION Z",2.688,1.0,3.0,0.534,459.0,59140.0,0.285
natfarez,"CARING FOR THE POOR -- VERSION Z",1.381,1.0,3.0,0.62,473.0,59126.0,0.385
natroadz,"IMPROVING HIGHWAYS AND BRIDGES -- VER Z",1.554,1.0,3.0,0.588,469.0,59130.0,0.346
natsocz,"PROTECTING SOCIAL SECURITY -- VERSION Z",1.36,1.0,3.0,0.567,464.0,59135.0,0.322
natmassz,"IMPROVING MASS TRANSIT -- VERSION Z",1.758,1.0,3.0,0.596,443.0,59156.0,0.356
natparkz,"IMPROVING PARKS AND RECREATION -- VER Z",1.715,1.0,3.0,0.535,466.0,59133.0,0.286
equal1,"EVERYONE SHOULD LOOK OUT FOR SELF",2.923,1.0,4.0,0.944,1420.0,58179.0,0.892
equal2,"BUSINESS PROFITS BENEFIT ALL",2.135,1.0,4.0,0.882,1415.0,58184.0,0.777
equal3,"GOVT SHLD INSURE JOBS AND STABLE PRICES",2.63,1.0,4.0,0.975,1424.0,58175.0,0.951
equal4,"RESPONSIBILITY OF GOVT TO MEET NEEDS",2.346,1.0,4.0,0.961,1434.0,58165.0,0.924
equal5,"SOCIAL WELFARE BENEFITS ARE DISINCENTIVE",2.607,1.0,4.0,0.95,1421.0,58178.0,0.902
equal6,"ONE IS ABLE TO LIVE WELL IN AMERICA",1.713,1.0,4.0,0.774,1436.0,58163.0,0.599
equal7,"BUSINESS PROFITS ARE DISTRIBUTED FAIRLY",2.829,1.0,4.0,0.844,1372.0,58227.0,0.712
equal8,"SOCIAL STANDING DUE TO ABILITY",2.559,1.0,4.0,0.923,1407.0,58192.0,0.853
