Variable,Label,Code,Category,Frequency,Percent,Missing
occ80,"RS CENSUS OCCUPATION CODE (1980)",7.0,"Financial Managers",131.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",8.0,"Personnel and Labor Relations Managers",34.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",9.0,"Purchasing Managers",26.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",13.0,"Managers, Marketing, Advertising, and Public Relations",171.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",14.0,"Administrators, Education and Related Fields",188.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",15.0,"Managers, Medicine and Health",126.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",16.0,"Managers, Properties and Real Estate",115.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",17.0,"Postmasters and Mail Superintendents",9.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",18.0,"Funeral Directors",13.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",19.0,"Managers and Administrators, n.e.c.",1939.0,0.03,
occ80,"RS CENSUS OCCUPATION CODE (1980)",23.0,"Accountants and Auditors",351.0,0.01,
occ80,"RS CENSUS OCCUPATION CODE (1980)",24.0,"Underwriters",6.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",25.0,"Other Financial Officers",186.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",26.0,"Management Analysts",110.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",27.0,"Personnel, Training, and Labor Relations Specialists",124.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",28.0,"Purchasing Agents and Buyers, Farm Products",5.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",29.0,"Buyers, Wholesale and Retail Trade Except Farm  Products",38.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",33.0,"Purchasing Agents and Buyers",67.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",34.0,"Business and Promotion Agents",16.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",35.0,"Construction Inspectors",14.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",36.0,"Inspectors/Compliance Officers, Except Construction",64.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",37.0,"Management Related Occupations, n.e.c.",190.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",43.0,"Architects",42.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",44.0,"Aerospace Engineers",28.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",45.0,"Metallurgical and Materials Engineers",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",46.0,"Mining Engineers",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",47.0,"Petroleum Engineers",6.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",48.0,"Chemical Engineers",19.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",49.0,"Nuclear Engineers",1.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",53.0,"Civil Engineers",68.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",54.0,"Agricultural Engineers",0.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",55.0,"Electrical and Electronic Engineers",113.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",56.0,"Industrial Engineers",58.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",57.0,"Mechanical Engineers",76.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",58.0,"Marine and Naval Architects",1.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",59.0,"Engineers, n.e.c.",87.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",63.0,"Surveyors and Mapping Scientists",10.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",64.0,"Computer Systems Analysts and Scientists",265.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",65.0,"Operations and Systems Researchers and Analysts",14.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",66.0,"Actuaries",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",67.0,"Statisticians",8.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",68.0,"Mathematical Scientists, n.e.c.",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",69.0,"Physicists and Astronomers",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",73.0,"Chemists, Except Biochemists",31.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",74.0,"Atmospheric and Space Scientists",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",75.0,"Geologists and Geodesists",8.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",76.0,"Physical Scientists, n.e.c.",9.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",77.0,"Agricultural and Food Scientists",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",78.0,"Biological and Life Scientists",26.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",79.0,"Forestry and Conservation Scientists",7.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",83.0,"Medical Scientists",9.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",84.0,"Physicians",115.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",85.0,"Dentists",28.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",86.0,"Veterinarians",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",87.0,"Optometrists",7.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",88.0,"Podiatrists",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",89.0,"Health Diagnosing Practitioners, n.e.c.",15.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",95.0,"Registered Nurses",588.0,0.01,
occ80,"RS CENSUS OCCUPATION CODE (1980)",96.0,"Pharmacists",35.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",97.0,"Dietitians",26.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",98.0,"Inhalation Therapists",16.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",99.0,"Occupational Therapists",16.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",103.0,"Physical Therapists",31.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",104.0,"Speech Therapists",29.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",105.0,"Therapists, n.e.c.",30.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",106.0,"Physicians' Assistants",15.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",113.0,"Earth, Environmental, and Marine Science Teachers",6.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",114.0,"Biological Science Teachers",6.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",115.0,"Chemistry Teachers",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",116.0,"Physics Teachers",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",117.0,"Natural Science Teachers, n.e.c.",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",118.0,"Psychology Teachers",8.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",119.0,"Economics Teachers",6.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",123.0,"History Teachers",7.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",124.0,"Political Science Teachers",5.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",125.0,"Sociology Teachers",0.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",126.0,"Social Science Teachers, n.e.c.",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",127.0,"Engineering Teachers",7.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",128.0,"Mathematical Science Teachers",19.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",129.0,"Computer Science Teachers",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",133.0,"Medical Science Teachers",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",134.0,"Health Specialties Teachers",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",135.0,"Business, Commerce, and Marketing Teachers",5.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",136.0,"Agriculture and Forestry Teachers",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",137.0,"Art, Drama, and Music Teachers",22.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",138.0,"Physical Education Teachers",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",139.0,"Education Teachers",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",143.0,"English Teachers",31.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",144.0,"Foreign Language Teachers",17.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",145.0,"Law Teachers",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",146.0,"Social Work Teachers",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",147.0,"Theology Teachers",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",148.0,"Trade and Industrial Teachers",5.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",149.0,"Home Economics Teachers",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",153.0,"Teachers, Postsecondary, n.e.c.",6.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",154.0,"Postsecondary Teachers, Subject Not Specified",64.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",155.0,"Teachers, Prekindergarten and Kindergarten",110.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",156.0,"Teachers, Elementary School",695.0,0.01,
occ80,"RS CENSUS OCCUPATION CODE (1980)",157.0,"Teachers, Secondary School",361.0,0.01,
occ80,"RS CENSUS OCCUPATION CODE (1980)",158.0,"Teachers, Special Education",49.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",159.0,"Teachers, n.e.c.",183.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",163.0,"Counselors, Educational and Vocational",80.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",164.0,"Librarians",62.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",165.0,"Archivists and Curators",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",166.0,"Economists",62.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",167.0,"Psychologists",66.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",168.0,"Sociologists",1.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",169.0,"Social Scientists, n.e.c.",8.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",173.0,"Urban Planners",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",174.0,"Social Workers",276.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",175.0,"Recreation Workers",20.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",176.0,"Clergy",81.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",177.0,"Religious Workers, n.e.c.",21.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",178.0,"Lawyers",176.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",179.0,"Judges",5.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",183.0,"Authors",33.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",184.0,"Technical Writers",25.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",185.0,"Designers",159.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",186.0,"Musicians and Composers",56.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",187.0,"Actors and Directors",47.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",188.0,"Painters, Sculptors, Craft-Artists, and Printmakers",83.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",189.0,"Photographers",36.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",193.0,"Dancers",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",194.0,"Artists, Performers, and Related Workers, n.e.c.",25.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",195.0,"Editors and Reporters",83.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",197.0,"Public Relations Specialists",56.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",198.0,"Announcers",10.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",199.0,"Athletes",32.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",203.0,"Clinical Laboratory Technologists and Technicians",99.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",204.0,"Dental Hygienists",22.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",205.0,"Health Record Technologists and Technicians",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",206.0,"Radiologic Technicians",37.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",207.0,"Licensed Practical Nurses",150.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",208.0,"Health Technologists and Technicians, n.e.c.",118.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",213.0,"Electrical and Electronic Technicians",144.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",214.0,"Industrial Engineering Technicians",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",215.0,"Mechanical Engineering Technicians",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",216.0,"Engineering Technicians, n.e.c.",52.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",217.0,"Drafting Occupations",60.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",218.0,"Surveying and Mapping Technicians",9.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",223.0,"Biological Technicians",18.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",224.0,"Chemical Technicians",37.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",225.0,"Science Technicians, n.e.c.",31.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",226.0,"Airplane Pilots and Navigators",37.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",227.0,"Air Traffic Controllers",12.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",228.0,"Broadcast Equipment Operators",21.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",229.0,"Computer Programmers",145.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",233.0,"Tool Programmers, Numerical Control",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",234.0,"Legal Assistants",82.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",235.0,"Technicians, n.e.c.",121.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",243.0,"Supervisors and Proprietors, Sales Occupations",713.0,0.01,
occ80,"RS CENSUS OCCUPATION CODE (1980)",253.0,"Insurance Sales Occupations",160.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",254.0,"Real Estate Sales Occupations",218.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",255.0,"Securities and Financial Services Sales Occupations",86.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",256.0,"Advertising and Related Sales Occupations",42.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",257.0,"Sales Occupations, Other Business Services",87.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",258.0,"Sales Engineers",8.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",259.0,"Sales Rep., Mining, Manufacturing, and Wholesale",285.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",263.0,"Sales Workers, Motor Vehicles and Boats",60.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",264.0,"Sales Workers, Apparel",126.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",265.0,"Sales Workers, Shoes",19.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",266.0,"Sales Workers, Furniture and Home Furnishings",42.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",267.0,"Sales Workers, Radio, TV, Hi-Fi, and Appliances",38.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",268.0,"Sales Workers, Hardware and Building Supplies",40.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",269.0,"Sales Workers, Parts",32.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",274.0,"Sales Workers, Other Commodities",513.0,0.01,
occ80,"RS CENSUS OCCUPATION CODE (1980)",275.0,"Sales Counter Clerks",50.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",276.0,"Cashiers",648.0,0.01,
occ80,"RS CENSUS OCCUPATION CODE (1980)",277.0,"Street and Door-To-Door Sales Workers",98.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",278.0,"News Vendors",16.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",283.0,"Demonstrators, Promoters and Models, Sales",18.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",284.0,"Auctioneers",0.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",285.0,"Sales Support Occupations, n.e.c.",12.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",303.0,"Supervisors, General Office",145.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",304.0,"Supervisors, Computer Equipment Operators",14.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",305.0,"Supervisors, Financial Records Processing",19.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",306.0,"Chief Communications Operators",5.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",307.0,"Supervisors, Distribution, Scheduling, and Adjusting Clerks",48.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",308.0,"Computer Operators",66.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",309.0,"Peripheral Equipment Operators",4.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",313.0,"Secretaries",968.0,0.02,
occ80,"RS CENSUS OCCUPATION CODE (1980)",314.0,"Stenographers",25.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",315.0,"Typists",66.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",316.0,"Interviewers",30.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",317.0,"Hotel Clerks",31.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",318.0,"Transportation Ticket and Reservation Agents",34.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",319.0,"Receptionists",231.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",323.0,"Information Clerks, n.e.c.",13.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",325.0,"Classified-Ad Clerks",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",326.0,"Correspondence Clerks",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",327.0,"Order Clerks",92.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",328.0,"Personnel Clerks, Except Payroll and Timekeeping",20.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",329.0,"Library Clerks",48.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",335.0,"File Clerks",27.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",336.0,"Records Clerks",44.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",337.0,"Bookkeepers, Accounting and Auditing Clerks",424.0,0.01,
occ80,"RS CENSUS OCCUPATION CODE (1980)",338.0,"Payroll and Timekeeping Clerks",47.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",339.0,"Billing Clerks",72.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",343.0,"Cost and Rate Clerks",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",344.0,"Billing, Posting, and Calculating Machine Operators",27.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",345.0,"Duplicating Machine Operators",3.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",346.0,"Mail Preparing and Paper Handling Machine Operators",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",347.0,"Office Machine Operators, n.e.c.",8.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",348.0,"Telephone Operators",91.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",349.0,"Telegraphers",1.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",353.0,"Communications Equipment Operators, n.e.c.",2.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",354.0,"Postal Clerks, Excluding Mail Carriers",89.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",355.0,"Mail Carriers, Postal Service",77.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",356.0,"Mail Clerks, Excluding Postal Service",44.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",357.0,"Messengers",35.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",359.0,"Dispatchers",37.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",363.0,"Production Coordinators",49.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",364.0,"Traffic, Shipping and Receiving Clerks",158.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",365.0,"Stock and Inventory Clerks",132.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",366.0,"Meter Readers",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",368.0,"Weighers, Measurers, and Checkers",15.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",369.0,"Samplers",1.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",373.0,"Expediters",73.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",374.0,"Material Recording, Scheduling and Distributing Clerks, n.e.c.",7.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",375.0,"Insurance Adjusters, Examiners, and Investigators",87.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",376.0,"Investigators and Adjusters, Except Insurance",201.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",377.0,"Eligibility Clerks, Social Welfare",11.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",378.0,"Bill and Account Collectors",33.0,0.0,
occ80,"RS CENSUS OCCUPATION CODE (1980)",379.0,"General Office Clerks",414.0,0.01,
occ80,"RS CENSUS OCCUPATION CODE (1980)",383.0,"Bank Tellers",111.0,0.0,
